Date,Open,High,Low,Close,Adj Close,Volume
2017-05-02,2275000.000000,2275000.000000,2238000.000000,2245000.000000,2245000.000000,281366
2017-05-04,2245000.000000,2285000.000000,2243000.000000,2276000.000000,2276000.000000,273802
2017-05-08,2276000.000000,2351000.000000,2267000.000000,2351000.000000,2351000.000000,391651
2017-05-10,2308000.000000,2361000.000000,2280000.000000,2280000.000000,2280000.000000,468219
2017-05-11,2271000.000000,2309000.000000,2261000.000000,2275000.000000,2275000.000000,425557
2017-05-12,2288000.000000,2308000.000000,2283000.000000,2291000.000000,2291000.000000,188458
2017-05-15,2281000.000000,2314000.000000,2281000.000000,2305000.000000,2305000.000000,160028
2017-05-16,2333000.000000,2340000.000000,2305000.000000,2319000.000000,2319000.000000,176075
2017-05-17,2306000.000000,2332000.000000,2305000.000000,2317000.000000,2317000.000000,148489
2017-05-18,2287000.000000,2300000.000000,2277000.000000,2297000.000000,2297000.000000,223207
2017-05-19,2282000.000000,2289000.000000,2236000.000000,2236000.000000,2236000.000000,315247
2017-05-22,2252000.000000,2269000.000000,2238000.000000,2255000.000000,2255000.000000,352871
2017-05-23,2270000.000000,2279000.000000,2245000.000000,2246000.000000,2246000.000000,252141
2017-05-24,2243000.000000,2265000.000000,2240000.000000,2244000.000000,2244000.000000,173508
2017-05-25,2258000.000000,2284000.000000,2240000.000000,2284000.000000,2284000.000000,260896
2017-05-26,2280000.000000,2323000.000000,2277000.000000,2304000.000000,2304000.000000,272273
2017-05-29,2311000.000000,2320000.000000,2269000.000000,2281000.000000,2281000.000000,174791
