ProductReference,CompanyID,CompanyName,CompanyTypeID,CompanyType,Sequence,Address1,Address2,Address3,CityName,StateName,Zip,CountryName,Phone1,Phone2,Fax1,Fax2,MainEmail,WebAddress
29,10,N/A,11,Underwriter/Sponsor,1,,,,None,None,,None,,,,,,
310,11,Asian Investment Management Services,1,Management Firm,1,,,,None,None,,None,,,,,,
537,35,Compucom Finance Inc,1,Management Firm,1,264 Riverside Avenue,,,Westport,Connecticut,06880,United States,+1 203 227 5533,,+1 203 227 3496,,,www.westoncapital.com
2511,75,Kingdon Capital Management LLC,1,Management Firm,1,152 West 57th Street,50th Floor,,New York,New York,10019,United States,+1 212 333 0130,,+1 212 849 4915,,,www.kcmc.com
2492,95,Pequot Capital Management Inc,1,Management Firm,1,500 Nyala Farm Road,,,Westport,Connecticut,06880,United States,+1 203 429 2200,,+1 203 429 5500,,,www.pequotcap.com
4140,99,PricewaterhouseCoopers (Isle of Man),2,Investment Advisor,1,"Sixty Circular Road, 3rd Floor",,,Douglas,None,IM1 1SA,None,,,,,,
1981,101,Perry Capital,1,Management Firm,1,767 Fifth Avenue,,,New York,New York,10153,United States,+1 212 583 4000,,+1 212 583 4040,,,www.perrycap.com
2508,111,Weintraub Capital Management LLC,1,Management Firm,1,900 Montgomery Street,,,San Francisco,California,94133,United States,+1 415 288 8953,,+1 415 705 8736,,,
1032,138,Abernathy Group LLC,1,Management Firm,1,17 State Street,16th Floor,,New York,New York,10004,United States,+1 212 293 3456,,+1 212 785 0495,,,
1708,145,Abernathy Group Long Term Capital LLC,11,Underwriter/Sponsor,1,"17 State Street,",16th Floor,,New York,None,NY 1000,United States,,,,,,
1705,158,Abernathy Group Moderate Growth LLC,11,Underwriter/Sponsor,1,17 State Street,16th Floor,,New York,None,10004,United States,,,,,,
2341,160,Acacia Capital Management Inc,11,Underwriter/Sponsor,1,"Wickmans Cay, PO Box 146","Road Town,",,Tortola,None,,Virgin Islands,+1 284 494 2434,,+1 284 494 3754,,info@acaciamgmt.com,acaciamgmt.com
2339,164,Acacia Research Corporation,1,Management Firm,1,55 South Lake Avenue,Suite 650,,Pasadena,California,91101,United States,+1 626 449 6431,,+1 626 535 0344,,,
1667,197,Alliance Capital Management LP,1,Management Firm,1,Alliance Capital,1345 Avenue of the Americas,,New York,New York,10105-4,United States,+1 212 969 6738,,+1 212 696 2302,,,www.alliancecapital.com
74841,243,Adelphi Management Ltd,1,Management Firm,1,PO Box 100,Sydney Vane House,Admiral Park,St Peters Port,None,GY1 3EL,Guernsey,+44 207 070 3100,,+44 207 070 3120,,info@adelphi-management.com,www.adelphi-europe.com
2042,249,Sagitta Asset Management Ltd (UK),1,Management Firm,1,Berkeley Square House,Berkeley Square,"Suite 4, 4th Floor",London,None,W1J 6BL,United Kingdom,+44 20 7543 1500,,+44 20 7543 1559,+44 20 7543 1559,,www.sagitta.co.uk
503,272,Angelo Gordon & Co LP,1,Management Firm,1,245 Park Avenue,,,New York,New York,10167,United States,+1 212 692 2057,+1 212 692 2283,+1 212 867 9328,,,www.angelogordon.com
1202,314,DKR Capital Inc,1,Management Firm,1,1281 East Main Street,3rd Floor,,Stamford,Connecticut,06902,United States,+1 203 324 8400,,+1 203 324 8488,,,www.dkrcapital.com
1475,326,DKR Management Company Inc,11,Underwriter/Sponsor,1,51 Locust Avenue,Suite 202,,New Canaan,Connecticut,06840,United States,+1 203 324 8400,,+1 203 324 8488,,,
1060,393,West Broadway Partners Inc,1,Management Firm,1,1370 Avenue of the Americas,23rd Floor,,New York,New York,10019,United States,+1 212 884 0500,,+1 212 884 0450,,,
1503,405,Atlantic Investment Management Inc,1,Management Firm,1,"666 Fifth Avenue, 34th Floor",,,New York,New York,10103,United States,+1 212 484 5050,,+1 212 484 5060,,info@atlanticinvestment.net,www.atlanticinvestment.net
1537,410,Atlantic Investment Management LLC,11,Underwriter/Sponsor,1,"3475 Lenox Road, NE",Suite 680,,Atlanta,Georgia,30326,United States,+1 404 949 9933,,+1 404 949 9936,,,www.atlanticinvestmentmgmt.com
45383,420,Alexandra Investment Management LLC,1,Management Firm,1,767 Third Avenue,39th Floor,,New York,New York,10017,United States,+1 212 301 1800,,+1 212 301 1810,,,www.alexandra.net
1985,426,Allegro Capital Ltd,1,Management Firm,1,King`s Scholars House,230 Vauxhall Bridge Road,,London,None,SW1V 1A,United Kingdom,+44 20 7630 1080,,+44 20 7630 9190,,,
55,449,Alpha Fund Management Ltd,11,Underwriter/Sponsor,1,Warner Building,85 Reid Street,,Hamilton,None,HMDX,Bermuda,,,,,,
54,460,Alpha Investment Management Inc,11,Underwriter/Sponsor,1,499 Park Avenue,24th Floor,,New York,New York,10022,United States,+1 212 421 0110,,+1 212 421 0169,,,www.arrowsmith.com.bs
815,481,David JS Nicholson CFA CPO,11,Underwriter/Sponsor,1,1061 East Indiantown Road,Suite 200,,Jupiter,Florida,33477,United States,+1 561 743 6733,,+1 561 743 6793,,,
424,490,Alpine Capital Management Inc,1,Management Firm,1,270 Sylvan Avenue,,,Englewood Cliffs,New Jersey,07632,United States,+1 201 816 1888,,+1 201 816 1377,,,
2344,521,Morgan Stanley,1,Management Firm,1,"100 Front Street,8th Floor",,,West Conshohocken,Pennsylvania,19428,United States,,,,,+1 415 576 2601,
951,537,Arden Asset Management LLC,1,Management Firm,1,375 Park Avenue,32nd Floor,,New York,New York,10152,United States,+1 212 751 5252,,+1 212 751 8546,,info@ardenasset.com,www.ardenasset.com
2083,548,Ardsley Advisory Partners,1,Management Firm,1,262 Harbor Drive,4th Floor,,Stamford,Connecticut,06902,United States,+1 203 355 0700,,,,,http://www.ardsley.com/
1937,567,Paramount Capital Asset Management Inc,1,Management Firm,1,787 Seventh Avenue,48th Floor,,New York,New York,10019,United States,+1 212 554 4276,,+1 212 554 4490,,,
1989,586,Aristeia Capital LLC,1,Management Firm,1,136 Madison Avenue,3rd Floor,,New York,New York,10016,United States,+1 212 842 8900,,+1 212 842 8901,,,http://www.aristeiacapital.com/Flat-Main.htm
1339,612,HDF Finance SA,1,Management Firm,1,40 rue La Pérouse,,,Paris,None,75116,France,+33 1 4417 1234,,+33 1 4417 1235,,marketing@hdf-finance.fr,www.hdf-finance.fr
2195,616,AXIVA,11,Underwriter/Sponsor,1,,,,None,None,,None,,,,,,
1052,622,Walton Investments Inc,1,Management Firm,1,295 Devonshire Street,6th Floor,,Boston,Massachusetts,02110,United States,,,,,,www.browncpas.com
1962,640,Marathon Capital Management Ltd,1,Management Firm,1,PO Box 1327,,,New York,New York,10028,United States,+1 212 644 5864,,,,skreps@marcapmgt.com,
637,658,Albany Management Co Ltd,11,Underwriter/Sponsor,1,"4 Computer Drive West Albany,",,,New York,New York,12205,United States,+1 518 458 7113,,,,lease@albanymanagement.com,www.albanymanagement.com
1666,664,Avery Capital Management,1,Management Firm,1,909 Third Avenue,29th Floor,,New York,New York,10022,United States,+1 212 350 5155,,+1 212 350 5384,,,
439,689,Banque Arabe et Internationale d`Investissement,1,Management Firm,1,,,,None,None,,Luxembourg,,,,,,
2072,710,Bank Street Advisors LLC,1,Management Firm,1,150 South Wacker Drive,15th Floor,,Chicago,Illinois,60606,United States,,,,,,www.arrowsmith.com.bs
1076,723,Clinton Group Inc,1,Management Firm,1,9 West 57th Street,26th Floor,,New York,New York,10019,United States,+1 212 825 0400,+1 212 739 1826,+1 212 825 0079,+1 212 825 0084,,www.clinton.com
456,738,Bay Harbour Management LLC,1,Management Firm,1,885 Third Avenue,34th Floor,,New York,New York,10022,United States,+1 212 371 2211,,+1 212 371 7497,,,www.bayharbour.com
217,749,Bayard Partners Ltd,1,Management Firm,1,The Economist Building,25 St. James`s Street,,London,None,SW1A 1H,United Kingdom,+44 20 7670 7550,,+44 20 7670 7572,,,www.bayard-partners.co.uk
1847,759,Bennett Capital Management Inc,1,Management Firm,1,40 College Street,Suite 212,,Burlington,Vermont,05401,United States,+1 802 864 3100,,+1 802 864 3322,,,www.bennettcapital.com
513,782,BDS Management Company Inc,1,Management Firm,1,150 South Wacker Drive,15th Floor,,Chicago,Illinois,60606,United States,,,,,,www.arrowsmith.com.bs
167,801,Metropolitan Capital Advisors Inc,1,Management Firm,1,660 Madison Avenue,20th Floor,,New York,New York,10021,United States,+1 212 371 0600,+1 212 486 8100,+1 212 355 7480,,,
243,813,BEM International Management Ltd,1,Management Firm,1,520 Madison Avenue,,,New York,New York,10022,United States,+1 212 832 8720,,+1 212 308 7926,,,www.crmllc.com
243,818,BEM Management Inc,11,Underwriter/Sponsor,1,,,,None,None,,None,,,,,,
2262,824,Bennett Management Corporation,1,Management Firm,1,2 Stamford Plaza,Suite 1501,281 Tresser Boulevard,Stamford,Connecticut,06901,United States,+1 203 353 3101,,+1 203 353 3113,,,
